entity_name,entity_slug,studentswithscores,pct_standard_met_or_exceeded_eng,pct_standard_nearly_met_eng,pct_standard_not_met_eng
Orinda Union Elementary,orinda-union-elementary,3197,0.87,0.1,0.03
Saratoga Union Elementary,saratoga-union-elementary,1658,0.87,0.1,0.04
Los Altos Elementary,los-altos-elementary,2557,0.87,0.09,0.04
Del Mar Union Elementary,del-mar-union-elementary,1588,0.86,0.09,0.05
Fremont Union High,fremont-union-high,2288,0.86,0.09,0.05
La Canada Unified,la-canada-unified,1010,0.85,0.11,0.04
Acalanes Union High,acalanes-union-high,2202,0.85,0.1,0.04
Piedmont City Unified,piedmont-city-unified,1049,0.85,0.11,0.04
Reed Union Elementary,reed-union-elementary,1438,0.85,0.11,0.04
Hillsborough City Elementary,hillsborough-city-elementary,1052,0.84,0.09,0.06